track,dataset,seed,group,run_id,confirm_theta,confirm_window,confirm_cooldown,confirmed_count_total,horizon,confirm_rate_per_10k,median_gap_between_confirms,p10_gap_between_confirms,acc_min_raw,acc_min@2000,post_min@W1000,post_mean@W1000,recovery_time_to_pre90
R,INSECTS_abrupt_balanced,1,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,40,52847,7.569020001135353,1280.0,1280.0,0.15234375,0.16366621376811594,0.19302577030429152,0.19398315927838575,178.4
R,INSECTS_abrupt_balanced,2,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,38,52847,7.190569001078585,1280.0,1280.0,0.1439651268115942,0.1439651268115942,0.17443906185190328,0.1753472393024155,178.4
R,INSECTS_abrupt_balanced,3,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,38,52847,7.190569001078585,1280.0,1280.0,0.14453125,0.16584821428571428,0.1965926648228,0.1972732294034225,178.4
R,INSECTS_abrupt_balanced,4,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,38,52847,7.190569001078585,1280.0,1280.0,0.16026785714285716,0.16026785714285716,0.18627965792920462,0.18708419201719306,178.4
R,INSECTS_abrupt_balanced,5,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,39,52847,7.379794501106969,1280.0,1280.0,0.1484375,0.1509284420289855,0.1829417901457404,0.18371476751956842,178.4
R,INSECTS_abrupt_balanced,6,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,38,52847,7.190569001078585,1280.0,1280.0,0.16813858695652173,0.16813858695652173,0.1982297842196267,0.19910514775755855,178.4
R,INSECTS_abrupt_balanced,7,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,40,52847,7.569020001135353,1280.0,1280.0,0.078125,0.171875,0.2008167800125611,0.20164664574462052,178.4
R,INSECTS_abrupt_balanced,8,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,40,52847,7.569020001135353,1280.0,1280.0,0.17154017857142856,0.17154017857142856,0.2009723174937761,0.20192175182142205,178.4
R,INSECTS_abrupt_balanced,9,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,36,52847,6.812118001021818,1280.0,1280.0,0.17119565217391305,0.17119565217391305,0.18775534945009456,0.18859373976632846,178.4
R,INSECTS_abrupt_balanced,10,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,39,52847,7.379794501106969,1280.0,1280.0,0.16474184782608695,0.16474184782608695,0.1868846071147961,0.18779758156316811,178.4
R,sea_abrupt4,1,v2_gate_m3_cd,20260108-111318-lv9_v2_gate_m3_cd_theta0.50_w1_cd200,0.5,1,200,150,50000,30.0,320.0,320.0,0.65625,0.763671875,,,
R,sea_abrupt4,2,v2_gate_m3_cd,20260108-111318-lv9_v2_gate_m3_cd_theta0.50_w1_cd200,0.5,1,200,149,50000,29.8,320.0,320.0,0.46875,0.740234375,,,
R,sea_abrupt4,3,v2_gate_m3_cd,20260108-111318-lv9_v2_gate_m3_cd_theta0.50_w1_cd200,0.5,1,200,147,50000,29.4,320.0,320.0,0.4375,0.7679924242424242,,,
R,sea_abrupt4,4,v2_gate_m3_cd,20260108-111318-lv9_v2_gate_m3_cd_theta0.50_w1_cd200,0.5,1,200,153,50000,30.6,320.0,320.0,0.3203125,0.69482421875,,,
R,sea_abrupt4,5,v2_gate_m3_cd,20260108-111318-lv9_v2_gate_m3_cd_theta0.50_w1_cd200,0.5,1,200,153,50000,30.6,320.0,320.0,0.625,0.7476325757575758,,,
